Task,Phase,Category,Priority,Target Date,Status,Notes
Add Greek-language output to the alert report,Prototype Development,Technical,Medium,Before Nov 2027,To Do,"EIC reviewers need to see it works in Greek — the actual operating language of the hospitals."
Add cooperation agreement PDF upload to prototype,Prototype Development,Technical,High,Before Nov 2027,To Do,"Layer 1 of HealthLedgerAI: AI reads a Greek cooperation agreement and extracts obligations. This is the moat."
Collect at least 2 signed observer certificates,EIC Application Prep,Evidence,Critical,Before Nov 2027,To Do,"One from Michalis (accounting firm). One from a hospital contact. These are your TRL 4 evidence."
Collect at least 1 letter of intent from a hospital,EIC Application Prep,Evidence,High,Before Nov 2027,To Do,"Even informal — an email from an accounting director saying they would test it. This is transformative for the application."
Write EIC Pre-Accelerator application,EIC Application Prep,Grant Applications,Critical,October–November 2027,To Do,"Opens May 5 2027. Deadline November 18 2027. Budget: ~€500K–€1M ask."
Prepare EIC demo video for submission,EIC Application Prep,Grant Applications,Critical,October 2027,To Do,"Must show working prototype. Loom or OBS recording of Streamlit demo. 3 minutes max."
Calculate ROI for hospital CFO (rejection rate reduction × annual billing volume),EIC Application Prep,Business Case,High,Before submission,To Do,"If HealthLedgerAI reduces EOPYY rejections by 10% at EIMC's revenue scale = several million euros. Calculate exact number."
Prepare GDPR/data processing documentation for hospital pilots,EIC Application Prep,Legal,Medium,Before Nov 2027,To Do,"EU AI Act classification analysis + GDPR data processing agreement template. Needed before any live hospital data is processed."
EU AI Act classification analysis — is HealthLedgerAI high-risk AI?,EIC Application Prep,Legal,Medium,Before Nov 2027,To Do,"High-risk = Article 6 + Annex III. Healthcare billing AI may qualify. Needs legal review."
Update CLAUDE-BRIEF.md with any new developments,Ongoing,Admin,Low,Ongoing,Ongoing,"Paste CLAUDE-BRIEF.md at start of any new Claude session to restore full context."
